conMean	treatMean	logFC	pValue	fdr
ANKRD18B	0.0809980392156863	2.07379921722114	4.67824542671837	2.74014896111378e-23	1.54660330785941e-22
ANKRD2	0.690003921568627	2.75480058708415	1.99727142315918	6.73244547487332e-10	1.28110988521867e-09
ANKRD22	3.38805294117647	18.4134843444227	2.44223432734806	1.40679849846221e-24	9.45875823094537e-24
ANKRD34B	0.0917921568627451	1.14193365949119	3.63696414118969	5.28932246597135e-06	7.89073399039549e-06
ANLN	2.35837254901961	45.3269684931507	4.26450613368153	1.56601523651239e-31	1.57735813812225e-29
ANO7	0.6803	1.65520547945205	1.2827673320458	4.74773523399379e-12	1.03636496999434e-11
ANO9	7.12343725490196	15.4739438356164	1.11919548809902	8.57300784686561e-06	1.26206715669537e-05
ANXA10	0.174466666666667	8.54709726027397	5.61441121060755	2.62478054977914e-09	4.82400792302861e-09
ANXA8	5.98781960784314	26.8010671232877	2.16218778103319	2.14385827281249e-11	4.50634135781433e-11
AP1S1	50.1071392156863	125.761542465753	1.32760274053533	3.90111638144332e-25	2.83776790225573e-24
AP2M1	208.188101960784	526.842876516634	1.33948514213665	8.13397358055671e-25	5.67528564915226e-24
AP3B2	0.32501568627451	3.23282739726027	3.31421522918829	3.42830628061456e-18	1.16003917530269e-17
AP3M2	11.4502529411765	23.8188818003914	1.0567262176794	4.66049843830642e-10	8.96571522023012e-10
APBA2	2.75101960784314	9.35474716242661	1.76573223874814	2.41084950737327e-11	5.04712035959785e-11
APCDD1L	0.156317647058824	3.87879530332681	4.63305608035098	1.23559487160166e-23	7.27508345464196e-23
APELA	0.162160784313725	1.58480998043053	3.28881299397533	4.56852799411059e-11	9.36101023652862e-11
APEX2	26.4427058823529	55.2914469667319	1.06418651184337	1.3337759049911e-25	1.04208961187991e-24
APOBEC3B	2.23290980392157	27.6968023483366	3.63272254255965	1.19615764246254e-27	1.34802373379689e-26
APOO	10.8814549019608	26.2574673189824	1.27085630222496	4.77165290140536e-24	2.97424738111306e-23
AQP11	1.06918431372549	3.05227769080235	1.51337564527181	5.55968568499653e-20	2.21028611405e-19
ARG2	3.78847843137255	9.54362309197652	1.332918533204	3.59421946827385e-11	7.41527460898002e-11
ARHGAP11A	1.60678039215686	14.0553641878669	3.12887616956721	4.86723509745054e-31	2.20511882720402e-29
ARHGAP33	3.05744705882353	8.0187530332681	1.39105038792762	6.17811673876944e-09	1.10933307740559e-08
ARHGAP40	1.00494509803922	3.09343052837573	1.62209094803947	0.0134333897463249	0.0158010276150142
ARHGEF16	6.79735490196078	22.6009225048924	1.73333630495784	7.02353007505547e-22	3.40239252039196e-21
ARHGEF19	8.82010784313725	45.7835084148728	2.37595982084365	3.13608878772409e-28	4.07118603106374e-27
ARHGEF35	3.9552137254902	10.3204575342466	1.38367937085931	9.40947316264355e-11	1.88874958621544e-10
ARHGEF39	0.528633333333333	5.33442113502935	3.33499242234581	4.33347321706244e-31	2.08208625259387e-29
ARHGEF4	3.9522862745098	17.2607311154599	2.12673422024477	5.98960601810142e-15	1.58622343763019e-14
ARHGEF5	8.86144705882353	19.4582078277886	1.13476462602995	2.02685129938092e-13	4.82874879000208e-13
ARL14	0.310056862745098	4.06358297455969	3.71214762573017	3.24312696070668e-07	5.23857844717752e-07
ARL4C	49.375962745098	113.662825440313	1.20287969998596	4.90167043544039e-16	1.41043164000172e-15
ARL4D	23.0902470588235	86.685627592955	1.90850920599626	8.00251642036611e-15	2.10157506693956e-14
ARL9	0.39833137254902	2.72458199608611	2.77399389352156	2.44683374172669e-19	9.13574098125123e-19
ARMH4	1.3961568627451	3.4550362035225	1.30723978582755	1.96587011655254e-11	4.14512141864374e-11
ARNTL2	4.09766666666667	43.3651295499022	3.40366088431465	1.53181146555836e-29	2.85649605869814e-28
ARPC1A	21.3770254901961	47.5082522504892	1.15211701039667	1.02055222659219e-20	4.37968074101117e-20
